filename,bucket,cumulative_confidence
IMG_1291_nut_65_1770185167866_1555.webp,good,70
IMG_1291_nut_68_1770185167180_1553.webp,good,100
IMG_1291_nut_72_1770185166468_1551.webp,good,100
IMG_1291_nut_87_1770185116536_1418.webp,good,70
IMG_1291_nut_88_1770185131872_1457.webp,good,60
IMG_1292_nut_100_1770185325415_1998.webp,good,100
IMG_1292_nut_102_1770185286361_1890.webp,good,100
IMG_1292_nut_103_1770185345530_2053.webp,good,100
IMG_1292_nut_104_1770185306545_1947.webp,good,100
IMG_1292_nut_105_1770185345193_2052.webp,good,100
IMG_1292_nut_106_1770185344855_2051.webp,good,100
IMG_1292_nut_107_1770185344424_2050.webp,good,100
IMG_1292_nut_110_1770185286043_1889.webp,good,100
IMG_1292_nut_111_1770185305824_1945.webp,good,100
IMG_1292_nut_112_1770185305391_1944.webp,good,100
IMG_1292_nut_113_1770185305067_1943.webp,good,100
IMG_1292_nut_116_1770185285737_1888.webp,good,70
IMG_1292_nut_119_1770185324381_1995.webp,good,70
IMG_1292_nut_120_1770185285437_1887.webp,good,100
IMG_1292_nut_122_1770185323672_1993.webp,good,100
IMG_1292_nut_123_1770185343445_2047.webp,good,100
IMG_1292_nut_124_1770185303921_1940.webp,good,60
IMG_1292_nut_125_1770185303585_1939.webp,good,100
IMG_1292_nut_126_1770185323195_1992.webp,good,100
IMG_1292_nut_127_1770185303228_1938.webp,good,100
IMG_1292_nut_128_1770185322864_1991.webp,good,60
IMG_1292_nut_129_1770185302870_1937.webp,good,80
IMG_1292_nut_12_1770185357461_2086.webp,good,70
IMG_1292_nut_133_1770185284807_1885.webp,good,100
IMG_1292_nut_134_1770185343122_2046.webp,good,100
IMG_1292_nut_135_1770185342793_2045.webp,good,100
IMG_1292_nut_136_1770185342467_2044.webp,good,80
IMG_1292_nut_142_1770185341670_2042.webp,good,100
IMG_1292_nut_145_1770185302178_1935.webp,good,70
IMG_1292_nut_148_1770185283325_1881.webp,good,70
IMG_1292_nut_151_1770185300994_1932.webp,good,60
IMG_1292_nut_154_1770185341010_2040.webp,good,100
IMG_1292_nut_156_1770185300677_1931.webp,good,100
IMG_1292_nut_157_1770185300319_1930.webp,good,55
IMG_1292_nut_164_1770185319931_1982.webp,good,100
IMG_1292_nut_165_1770185298956_1926.webp,good,100
IMG_1292_nut_166_1770185319612_1981.webp,good,100
IMG_1292_nut_168_1770185298633_1925.webp,good,100
IMG_1292_nut_169_1770185339627_2036.webp,good,100
